hostname_check-hostname-check-3-1  | 2023-07-11 15:57:25,409 - INFO - hostname-check-3 was resolved to ['172.30.0.2', '172.30.0.2', '172.30.0.2']
hostname_check-hostname-check-3-1  | 2023-07-11 15:57:25,412 - WARNING - hostname-check-5 was not resolved
hostname_check-hostname-check-3-1  | 2023-07-11 15:57:25,412 - ERROR - Checked 2 hostnames, 1 were successful, 1 failed
hostname_check-hostname-check-3-1  | 2023-07-11 15:57:25,412 - INFO - Sleeping for 9.996551752090454 seconds
hostname_check-hostname-check-4-1  | 2023-07-11 15:56:58,447 - INFO - hostname-check-6 was resolved to ['172.31.0.3', '172.31.0.3', '172.31.0.3']
hostname_check-hostname-check-2-1  | 2023-07-11 15:57:34,916 - INFO - hostname-check-1 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-2-1  | 2023-07-11 15:57:34,917 - INFO - hostname-check-2 was resolved to ['192.168.16.4', '192.168.16.4', '192.168.16.4']
hostname_check-hostname-check-2-1  | 2023-07-11 15:57:34,918 - INFO - hostname-check-5 was resolved to ['172.29.0.7', '172.29.0.7', '172.29.0.7']
hostname_check-hostname-check-2-1  | 2023-07-11 15:57:34,919 - INFO - hostname-check-1 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-2-1  | 2023-07-11 15:57:34,920 - INFO - hostname-check-2 was resolved to ['192.168.16.4', '192.168.16.4', '192.168.16.4']
hostname_check-hostname-check-5-1  | 2023-07-11 15:57:07,362 - INFO - Sleeping for 9.995683193206787 seconds
hostname_check-hostname-check-3-1  | 2023-07-11 15:57:34,414 - INFO - hostname-check-3 was resolved to ['172.30.0.2', '172.30.0.2', '172.30.0.2']
hostname_check-hostname-check-3-1  | 2023-07-11 15:57:34,415 - WARNING - hostname-check-5 was not resolved
hostname_check-hostname-check-3-1  | 2023-07-11 15:57:34,415 - ERROR - Checked 2 hostnames, 1 were successful, 1 failed
hostname_check-hostname-check-3-1  | 2023-07-11 15:57:34,415 - INFO - Sleeping for 9.998801231384277 seconds
hostname_check-hostname-check-3-1  | 2023-07-11 15:57:43,417 - INFO - hostname-check-3 was resolved to ['172.30.0.2', '172.30.0.2', '172.30.0.2']
hostname_check-hostname-check-3-1  | 2023-07-11 15:57:43,419 - WARNING - hostname-check-5 was not resolved
hostname_check-hostname-check-5-1  | 2023-07-11 15:57:16,364 - INFO - hostname-check-1 was resolved to ['172.29.0.8', '172.29.0.8', '172.29.0.8']
hostname_check-hostname-check-5-1  | 2023-07-11 15:57:16,365 - INFO - hostname-check-2 was resolved to ['172.29.0.10', '172.29.0.10', '172.29.0.10']
hostname_check-hostname-check-5-1  | 2023-07-11 15:57:16,366 - INFO - hostname-check-5 was resolved to ['172.29.0.7', '172.29.0.7', '172.29.0.7']
hostname_check-hostname-check-5-1  | 2023-07-11 15:57:16,368 - WARNING - hostname-check-3 was not resolved
hostname_check-hostname-check-5-1  | 2023-07-11 15:57:16,369 - INFO - hostname-check-5 was resolved to ['172.29.0.7', '172.29.0.7', '172.29.0.7']
hostname_check-hostname-check-5-1  | 2023-07-11 15:57:16,369 - ERROR - Checked 5 hostnames, 4 were successful, 1 failed
hostname_check-hostname-check-5-1  | 2023-07-11 15:57:16,369 - INFO - Sleeping for 9.994257926940918 seconds
hostname_check-hostname-check-5-1  | 2023-07-11 15:57:25,371 - INFO - hostname-check-1 was resolved to ['172.29.0.8', '172.29.0.8', '172.29.0.8']
hostname_check-hostname-check-5-1  | 2023-07-11 15:57:25,372 - INFO - hostname-check-2 was resolved to ['172.29.0.10', '172.29.0.10', '172.29.0.10']
hostname_check-hostname-check-5-1  | 2023-07-11 15:57:25,373 - INFO - hostname-check-5 was resolved to ['172.29.0.7', '172.29.0.7', '172.29.0.7']
